CODRE;NOMRE;NIVEL;COD_TCE;CODRENUMERO;NOMREC;VALIDO;TIPO;IMPORTADO;CODRE_ORIGEM;ENVIADO_TCE;CONTA_SICONFI;CORRELACIONADO;ALTERADO_TCE;N1;N2;N3;N4;N5;N6;N7;N8;N9;N10;PERMITE_DESDOBRO;N11;CONTA_MATRIZ;EXCLUIDO;PK_RECTAB;DB;
1944.06.0.6.00.00;MULTAS JUROS AMORTIZ.EMPRÉST.CONTRATUAL-JUROS;7;;194406060000;MULTAS E JUROS DE MORA DE AMORTIZAÇÃO DE EMPRÉSTIMOS CONTRATUAIS – JUROS COM DESTINAÇÃO DIFERENCIADA POR LEGISLAÇÃO PERTINENTE;S;A;S;1944.06.0.6.00.00;;;;;1000.00.0.0.00.00;1900.00.0.0.00.00;1940.00.0.0.00.00;1944.00.0.0.00.00;1944.06.0.0.00.00;1944.06.0.0.00.00;1944.06.0.6.00.00;1944.06.0.6.00.00;1944.06.0.6.00.00;;;;;;24000000000001501;1;
1944.06.0.7.00.00;MULTAS JUROS AMORTIZ.EMPRÉST.CONTRATUAL-DIVIDA ATIVA MULTAS;7;;194406070000;MULTAS E JUROS DE MORA DE AMORTIZAÇÃO DE EMPRÉSTIMOS CONTRATUAIS – DÍVIDA ATIVA – MULTAS COM DESTINAÇÃO DIFERENCIADA POR LEGISLAÇÃO PERTINENTE;S;A;S;1944.06.0.7.00.00;;;;;1000.00.0.0.00.00;1900.00.0.0.00.00;1940.00.0.0.00.00;1944.00.0.0.00.00;1944.06.0.0.00.00;1944.06.0.0.00.00;1944.06.0.7.00.00;1944.06.0.7.00.00;1944.06.0.7.00.00;;;;;;24000000000001502;1;
1944.06.0.8.00.00;MULTAS JUROS AMORTIZ.EMPRÉST.CONTRATUAL-DIVIDA ATIVA JUROS;7;;194406080000;MULTAS E JUROS DE MORA DE AMORTIZAÇÃO DE EMPRÉSTIMOS CONTRATUAIS – DÍVIDA ATIVA – JUROS COM DESTINAÇÃO DIFERENCIADA POR LEGISLAÇÃO PERTINENTE;S;A;S;1944.06.0.8.00.00;;;;;1000.00.0.0.00.00;1900.00.0.0.00.00;1940.00.0.0.00.00;1944.00.0.0.00.00;1944.06.0.0.00.00;1944.06.0.0.00.00;1944.06.0.8.00.00;1944.06.0.8.00.00;1944.06.0.8.00.00;;;;;;24000000000001503;1;
1944.07.0.0.00.00;MULTAS E JUROS DE MORA DE AMORTIZAÇÃO DE FINANCIAMENTOS;5;;194407000000;MULTAS E JUROS DE MORA DE AMORTIZAÇÃO DE FINANCIAMENTOS;S;S;S;1944.07.0.0.00.00;;;;;1000.00.0.0.00.00;1900.00.0.0.00.00;1940.00.0.0.00.00;1944.00.0.0.00.00;1944.07.0.0.00.00;1944.07.0.0.00.00;1944.07.0.0.00.00;1944.07.0.0.00.00;1944.07.0.0.00.00;;;;;;24000000000001504;1;
1944.07.1.0.00.00;MULTAS E JUROS  AMORTIZAÇÃO DE FINANCIAMENTOS EM GERAL;6;;194407100000;MULTAS E JUROS DE MORA DE AMORTIZAÇÃO DE FINANCIAMENTOS EM GERAL;S;S;S;1944.07.1.0.00.00;;;;;1000.00.0.0.00.00;1900.00.0.0.00.00;1940.00.0.0.00.00;1944.00.0.0.00.00;1944.07.0.0.00.00;1944.07.1.0.00.00;1944.07.1.0.00.00;1944.07.1.0.00.00;1944.07.1.0.00.00;;;;;;24000000000001505;1;
1944.07.1.1.00.00;MULTAS JUROS AMORT.FINANC.GERAL-PRINCIPAL;7;;194407110000;MULTAS E JUROS DE MORA DE AMORTIZAÇÃO DE FINANCIAMENTOS EM GERAL – PRINCIPAL;S;A;S;1944.07.1.1.00.00;;;;;1000.00.0.0.00.00;1900.00.0.0.00.00;1940.00.0.0.00.00;1944.00.0.0.00.00;1944.07.0.0.00.00;1944.07.1.0.00.00;1944.07.1.1.00.00;1944.07.1.1.00.00;1944.07.1.1.00.00;;;;;;24000000000001506;1;
1944.07.1.2.00.00;MULTAS JUROS AMORT.FINANC.GERAL-MULTAS JUROS;7;;194407120000;MULTAS E JUROS DE MORA DE AMORTIZAÇÃO DE FINANCIAMENTOS EM GERAL – MULTAS E JUROS;S;A;S;1944.07.1.2.00.00;;;;;1000.00.0.0.00.00;1900.00.0.0.00.00;1940.00.0.0.00.00;1944.00.0.0.00.00;1944.07.0.0.00.00;1944.07.1.0.00.00;1944.07.1.2.00.00;1944.07.1.2.00.00;1944.07.1.2.00.00;;;;;;24000000000001507;1;
1944.07.1.3.00.00;MULTAS JUROS AMORT.FINANC.GERAL-DIVIDA ATIVA;7;;194407130000;MULTAS E JUROS DE MORA DE AMORTIZAÇÃO DE FINANCIAMENTOS EM GERAL – DÍVIDA ATIVA;S;A;S;1944.07.1.3.00.00;;;;;1000.00.0.0.00.00;1900.00.0.0.00.00;1940.00.0.0.00.00;1944.00.0.0.00.00;1944.07.0.0.00.00;1944.07.1.0.00.00;1944.07.1.3.00.00;1944.07.1.3.00.00;1944.07.1.3.00.00;;;;;;24000000000001508;1;
1944.07.1.4.00.00;MULTAS JUROS AMORT.FINANC.GERAL-D.ATIVA M/JUROS;7;;194407140000;MULTAS E JUROS DE MORA DE AMORTIZAÇÃO DE FINANCIAMENTOS EM GERAL – DÍVIDA ATIVA – MULTAS E JUROS;S;A;S;1944.07.1.4.00.00;;;;;1000.00.0.0.00.00;1900.00.0.0.00.00;1940.00.0.0.00.00;1944.00.0.0.00.00;1944.07.0.0.00.00;1944.07.1.0.00.00;1944.07.1.4.00.00;1944.07.1.4.00.00;1944.07.1.4.00.00;;;;;;24000000000001509;1;
1944.07.1.5.00.00;MULTAS JUROS AMORT.FINANC.GERAL-MULTAS;7;;194407150000;MULTAS E JUROS DE MORA DE AMORTIZAÇÃO DE FINANCIAMENTOS EM GERAL – MULTAS COM DESTINAÇÃO DIFERENCIADA POR LEGISLAÇÃO PERTINENTE;S;A;S;1944.07.1.5.00.00;;;;;1000.00.0.0.00.00;1900.00.0.0.00.00;1940.00.0.0.00.00;1944.00.0.0.00.00;1944.07.0.0.00.00;1944.07.1.0.00.00;1944.07.1.5.00.00;1944.07.1.5.00.00;1944.07.1.5.00.00;;;;;;24000000000001510;1;
1944.07.1.6.00.00;MULTAS JUROS AMORT.FINANC.GERAL-JUROS;7;;194407160000;MULTAS E JUROS DE MORA DE AMORTIZAÇÃO DE FINANCIAMENTOS EM GERAL – JUROS COM DESTINAÇÃO DIFERENCIADA POR LEGISLAÇÃO PERTINENTE;S;A;S;1944.07.1.6.00.00;;;;;1000.00.0.0.00.00;1900.00.0.0.00.00;1940.00.0.0.00.00;1944.00.0.0.00.00;1944.07.0.0.00.00;1944.07.1.0.00.00;1944.07.1.6.00.00;1944.07.1.6.00.00;1944.07.1.6.00.00;;;;;;24000000000001511;1;
1944.07.1.7.00.00;MULTAS JUROS AMORT.FINANC.GERAL-DIVIDA ATIVA MULTAS;7;;194407170000;MULTAS E JUROS DE MORA DE AMORTIZAÇÃO DE FINANCIAMENTOS EM GERAL – DÍVIDA ATIVA – MULTAS COM DESTINAÇÃO DIFERENCIADA POR LEGISLAÇÃO PERTINENTE;S;A;S;1944.07.1.7.00.00;;;;;1000.00.0.0.00.00;1900.00.0.0.00.00;1940.00.0.0.00.00;1944.00.0.0.00.00;1944.07.0.0.00.00;1944.07.1.0.00.00;1944.07.1.7.00.00;1944.07.1.7.00.00;1944.07.1.7.00.00;;;;;;24000000000001512;1;
1944.07.1.8.00.00;MULTAS JUROS AMORT.FINANC.GERAL-DIVIDA ATIVA JUROS;7;;194407180000;MULTAS E JUROS DE MORA DE AMORTIZAÇÃO DE FINANCIAMENTOS EM GERAL – DÍVIDA ATIVA – JUROS COM DESTINAÇÃO DIFERENCIADA POR LEGISLAÇÃO PERTINENTE;S;A;S;1944.07.1.8.00.00;;;;;1000.00.0.0.00.00;1900.00.0.0.00.00;1940.00.0.0.00.00;1944.00.0.0.00.00;1944.07.0.0.00.00;1944.07.1.0.00.00;1944.07.1.8.00.00;1944.07.1.8.00.00;1944.07.1.8.00.00;;;;;;24000000000001513;1;
1949.00.0.0.00.00;MULTAS E JUROS DE MORA DE OUTRAS RECEITAS DE CAPITAL;4;;194900000000;MULTAS E JUROS DE MORA DE OUTRAS RECEITAS DE CAPITAL;S;S;S;1949.00.0.0.00.00;;;;;1000.00.0.0.00.00;1900.00.0.0.00.00;1940.00.0.0.00.00;1949.00.0.0.00.00;1949.00.0.0.00.00;1949.00.0.0.00.00;1949.00.0.0.00.00;1949.00.0.0.00.00;1949.00.0.0.00.00;;;;;;24000000000001514;1;
1949.99.0.0.00.00;MULTAS E JUROS DE OUTRAS RECEITAS DE CAPITAL;5;;194999000000;MULTAS E JUROS DE OUTRAS RECEITAS DE CAPITAL;S;S;S;1949.99.0.0.00.00;;;;;1000.00.0.0.00.00;1900.00.0.0.00.00;1940.00.0.0.00.00;1949.00.0.0.00.00;1949.99.0.0.00.00;1949.99.0.0.00.00;1949.99.0.0.00.00;1949.99.0.0.00.00;1949.99.0.0.00.00;;;;;;24000000000001515;1;
1949.99.0.1.00.00;MULTAS E JUROS DE OUTRAS RECEITAS DE CAPITAL – PRINCIPAL;7;;194999010000;MULTAS E JUROS DE OUTRAS RECEITAS DE CAPITAL – PRINCIPAL;S;A;S;1949.99.0.1.00.00;;;;;1000.00.0.0.00.00;1900.00.0.0.00.00;1940.00.0.0.00.00;1949.00.0.0.00.00;1949.99.0.0.00.00;1949.99.0.0.00.00;1949.99.0.1.00.00;1949.99.0.1.00.00;1949.99.0.1.00.00;;;;;;24000000000001516;1;
1949.99.0.2.00.00;MULTAS JUROS OUTRAS RECEITAS CAPITAL-MULTAS JUROS;7;;194999020000;MULTAS E JUROS DE OUTRAS RECEITAS DE CAPITAL – MULTAS E JUROS;S;A;S;1949.99.0.2.00.00;;;;;1000.00.0.0.00.00;1900.00.0.0.00.00;1940.00.0.0.00.00;1949.00.0.0.00.00;1949.99.0.0.00.00;1949.99.0.0.00.00;1949.99.0.2.00.00;1949.99.0.2.00.00;1949.99.0.2.00.00;;;;;;24000000000001517;1;
1949.99.0.3.00.00;MULTAS E JUROS DE OUTRAS RECEITAS DE CAPITAL – DÍVIDA ATIVA;7;;194999030000;MULTAS E JUROS DE OUTRAS RECEITAS DE CAPITAL – DÍVIDA ATIVA;S;A;S;1949.99.0.3.00.00;;;;;1000.00.0.0.00.00;1900.00.0.0.00.00;1940.00.0.0.00.00;1949.00.0.0.00.00;1949.99.0.0.00.00;1949.99.0.0.00.00;1949.99.0.3.00.00;1949.99.0.3.00.00;1949.99.0.3.00.00;;;;;;24000000000001518;1;
1949.99.0.4.00.00;MULTAS JUROS OUTRAS RECEITAS CAPITAL-D.ATIVA M/JUROS;7;;194999040000;MULTAS E JUROS DE OUTRAS RECEITAS DE CAPITAL – DÍVIDA ATIVA – MULTAS E JUROS;S;A;S;1949.99.0.4.00.00;;;;;1000.00.0.0.00.00;1900.00.0.0.00.00;1940.00.0.0.00.00;1949.00.0.0.00.00;1949.99.0.0.00.00;1949.99.0.0.00.00;1949.99.0.4.00.00;1949.99.0.4.00.00;1949.99.0.4.00.00;;;;;;24000000000001519;1;
1949.99.0.5.00.00;MULTAS JUROS OUTRAS RECEITAS CAPITAL-MULTAS;7;;194999050000;MULTAS E JUROS DE OUTRAS RECEITAS DE CAPITAL – MULTAS COM DESTINAÇÃO DIFERENCIADA POR LEGISLAÇÃO PERTINENTE;S;A;S;1949.99.0.5.00.00;;;;;1000.00.0.0.00.00;1900.00.0.0.00.00;1940.00.0.0.00.00;1949.00.0.0.00.00;1949.99.0.0.00.00;1949.99.0.0.00.00;1949.99.0.5.00.00;1949.99.0.5.00.00;1949.99.0.5.00.00;;;;;;24000000000001520;1;
1949.99.0.6.00.00;MULTAS JUROS OUTRAS RECEITAS CAPITAL-JUROS;7;;194999060000;MULTAS E JUROS DE OUTRAS RECEITAS DE CAPITAL – JUROS COM DESTINAÇÃO DIFERENCIADA POR LEGISLAÇÃO PERTINENTE;S;A;S;1949.99.0.6.00.00;;;;;1000.00.0.0.00.00;1900.00.0.0.00.00;1940.00.0.0.00.00;1949.00.0.0.00.00;1949.99.0.0.00.00;1949.99.0.0.00.00;1949.99.0.6.00.00;1949.99.0.6.00.00;1949.99.0.6.00.00;;;;;;24000000000001521;1;
1949.99.0.7.00.00;MULTAS JUROS OUTRAS RECEITAS CAPITAL-DIVIDA ATIVA MULTAS;7;;194999070000;MULTAS E JUROS DE OUTRAS RECEITAS DE CAPITAL – DÍVIDA ATIVA – MULTAS COM DESTINAÇÃO DIFERENCIADA POR LEGISLAÇÃO PERTINENTE;S;A;S;1949.99.0.7.00.00;;;;;1000.00.0.0.00.00;1900.00.0.0.00.00;1940.00.0.0.00.00;1949.00.0.0.00.00;1949.99.0.0.00.00;1949.99.0.0.00.00;1949.99.0.7.00.00;1949.99.0.7.00.00;1949.99.0.7.00.00;;;;;;24000000000001522;1;
1949.99.0.8.00.00;MULTAS JUROS OUTRAS RECEITAS CAPITAL-DIVIDA ATIVA JUROS;7;;194999080000;MULTAS E JUROS DE OUTRAS RECEITAS DE CAPITAL – DÍVIDA ATIVA – JUROS COM DESTINAÇÃO DIFERENCIADA POR LEGISLAÇÃO PERTINENTE;S;A;S;1949.99.0.8.00.00;;;;;1000.00.0.0.00.00;1900.00.0.0.00.00;1940.00.0.0.00.00;1949.00.0.0.00.00;1949.99.0.0.00.00;1949.99.0.0.00.00;1949.99.0.8.00.00;1949.99.0.8.00.00;1949.99.0.8.00.00;;;;;;24000000000001523;1;
1990.00.0.0.00.00;DEMAIS RECEITAS CORRENTES;3;;199000000000;DEMAIS RECEITAS CORRENTES;S;S;S;1990.00.0.0.00.00;;;;;1000.00.0.0.00.00;1900.00.0.0.00.00;1990.00.0.0.00.00;1990.00.0.0.00.00;1990.00.0.0.00.00;1990.00.0.0.00.00;1990.00.0.0.00.00;1990.00.0.0.00.00;1990.00.0.0.00.00;;;;;;24000000000001524;1;
1999.00.0.0.00.00;OUTRAS RECEITAS CORRENTES;4;;199900000000;OUTRAS RECEITAS CORRENTES;S;S;S;1999.00.0.0.00.00;;;;;1000.00.0.0.00.00;1900.00.0.0.00.00;1990.00.0.0.00.00;1999.00.0.0.00.00;1999.00.0.0.00.00;1999.00.0.0.00.00;1999.00.0.0.00.00;1999.00.0.0.00.00;1999.00.0.0.00.00;;;;;;24000000000001525;1;
1999.01.0.0.00.00;APORTES PERIÓD.AMORT.DÉFICIT ATUARIAL RPPS;5;;199901000000;APORTES PERIÓDICOS PARA AMORTIZAÇÃO DE DÉFICIT ATUARIAL DO REGIMES PRÓPRIOS DE PREVIDÊNCIA E SISTEMA DE PROTEÇÃO SOCIAL;S;S;S;1999.01.0.0.00.00;;;;;1000.00.0.0.00.00;1900.00.0.0.00.00;1990.00.0.0.00.00;1999.00.0.0.00.00;1999.01.0.0.00.00;1999.01.0.0.00.00;1999.01.0.0.00.00;1999.01.0.0.00.00;1999.01.0.0.00.00;;;;;;24000000000001526;1;
1999.01.0.1.00.00;APORTES PERIÓD.AMORT.DÉFICIT ATUARIAL RPPS-PRINCIPAL;7;;199901010000;APORTES PERIÓDICOS PARA AMORTIZAÇÃO DE DÉFICIT ATUARIAL DO REGIMES PRÓPRIOS DE PREVIDÊNCIA E SISTEMA DE PROTEÇÃO SOCIAL – PRINCIPAL;S;A;S;1999.01.0.1.00.00;;;;;1000.00.0.0.00.00;1900.00.0.0.00.00;1990.00.0.0.00.00;1999.00.0.0.00.00;1999.01.0.0.00.00;1999.01.0.0.00.00;1999.01.0.1.00.00;1999.01.0.1.00.00;1999.01.0.1.00.00;;;;;;24000000000001527;1;
1999.01.0.2.00.00;APORTES PERIÓD.AMORT.DÉFICIT ATUARIAL RPPS-MULTAS JUROS;7;;199901020000;APORTES PERIÓDICOS PARA AMORTIZAÇÃO DE DÉFICIT ATUARIAL DO REGIMES PRÓPRIOS DE PREVIDÊNCIA E SISTEMA DE PROTEÇÃO SOCIAL – MULTAS E JUROS;S;A;S;1999.01.0.2.00.00;;;;;1000.00.0.0.00.00;1900.00.0.0.00.00;1990.00.0.0.00.00;1999.00.0.0.00.00;1999.01.0.0.00.00;1999.01.0.0.00.00;1999.01.0.2.00.00;1999.01.0.2.00.00;1999.01.0.2.00.00;;;;;;24000000000001528;1;
1999.01.0.3.00.00;APORTES PERIÓD.AMORT.DÉFICIT ATUARIAL RPPS-DÍVIDA ATIVA;7;;199901030000;APORTES PERIÓDICOS PARA AMORTIZAÇÃO DE DÉFICIT ATUARIAL DO REGIMES PRÓPRIOS DE PREVIDÊNCIA E SISTEMA DE PROTEÇÃO SOCIAL – DÍVIDA ATIVA;S;A;S;1999.01.0.3.00.00;;;;;1000.00.0.0.00.00;1900.00.0.0.00.00;1990.00.0.0.00.00;1999.00.0.0.00.00;1999.01.0.0.00.00;1999.01.0.0.00.00;1999.01.0.3.00.00;1999.01.0.3.00.00;1999.01.0.3.00.00;;;;;;24000000000001529;1;
1999.01.0.4.00.00;APORTES PERIÓD.AMORT.DÉFICIT ATUARIAL RPPS-D.ATIVA M/JUROS;7;;199901040000;APORTES PERIÓDICOS PARA AMORTIZAÇÃO DE DÉFICIT ATUARIAL DO REGIMES PRÓPRIOS DE PREVIDÊNCIA E SISTEMA DE PROTEÇÃO SOCIAL – DÍVIDA ATIVA – MULTAS E JUROS;S;A;S;1999.01.0.4.00.00;;;;;1000.00.0.0.00.00;1900.00.0.0.00.00;1990.00.0.0.00.00;1999.00.0.0.00.00;1999.01.0.0.00.00;1999.01.0.0.00.00;1999.01.0.4.00.00;1999.01.0.4.00.00;1999.01.0.4.00.00;;;;;;24000000000001530;1;
1999.01.0.5.00.00;APORTES PERIÓD.AMORT.DÉFICIT ATUARIAL RPPS-MULTAS;7;;199901050000;APORTES PERIÓDICOS PARA AMORTIZAÇÃO DE DÉFICIT ATUARIAL DO REGIMES PRÓPRIOS DE PREVIDÊNCIA E SISTEMA DE PROTEÇÃO SOCIAL – MULTAS COM DESTINAÇÃO DIFERENCIADA POR LEGISLAÇÃO PERTINENTE;S;A;S;1999.01.0.5.00.00;;;;;1000.00.0.0.00.00;1900.00.0.0.00.00;1990.00.0.0.00.00;1999.00.0.0.00.00;1999.01.0.0.00.00;1999.01.0.0.00.00;1999.01.0.5.00.00;1999.01.0.5.00.00;1999.01.0.5.00.00;;;;;;24000000000001531;1;
1999.01.0.6.00.00;APORTES PERIÓD.AMORT.DÉFICIT ATUARIAL RPPS-JUROS;7;;199901060000;APORTES PERIÓDICOS PARA AMORTIZAÇÃO DE DÉFICIT ATUARIAL DO REGIMES PRÓPRIOS DE PREVIDÊNCIA E SISTEMA DE PROTEÇÃO SOCIAL – JUROS COM DESTINAÇÃO DIFERENCIADA POR LEGISLAÇÃO PERTINENTE;S;A;S;1999.01.0.6.00.00;;;;;1000.00.0.0.00.00;1900.00.0.0.00.00;1990.00.0.0.00.00;1999.00.0.0.00.00;1999.01.0.0.00.00;1999.01.0.0.00.00;1999.01.0.6.00.00;1999.01.0.6.00.00;1999.01.0.6.00.00;;;;;;24000000000001532;1;
1999.01.0.7.00.00;APORTES PERIÓD.AMORT.DÉFICIT ATUARIAL RPPS-D.ATIVA MULTAS;7;;199901070000;APORTES PERIÓDICOS PARA AMORTIZAÇÃO DE DÉFICIT ATUARIAL DO REGIMES PRÓPRIOS DE PREVIDÊNCIA E SISTEMA DE PROTEÇÃO SOCIAL – DÍVIDA ATIVA – MULTAS COM DESTINAÇÃO DIFERENCIADA POR LEGISLAÇÃO PERTINENTE;S;A;S;1999.01.0.7.00.00;;;;;1000.00.0.0.00.00;1900.00.0.0.00.00;1990.00.0.0.00.00;1999.00.0.0.00.00;1999.01.0.0.00.00;1999.01.0.0.00.00;1999.01.0.7.00.00;1999.01.0.7.00.00;1999.01.0.7.00.00;;;;;;24000000000001533;1;
1999.01.0.8.00.00;APORTES PERIÓD.AMORT.DÉFICIT ATUARIAL RPPS-DIVIDA ATIVA JURO;7;;199901080000;APORTES PERIÓDICOS PARA AMORTIZAÇÃO DE DÉFICIT ATUARIAL DO REGIMES PRÓPRIOS DE PREVIDÊNCIA E SISTEMA DE PROTEÇÃO SOCIAL – DÍVIDA ATIVA – JUROS COM DESTINAÇÃO DIFERENCIADA POR LEGISLAÇÃO PERTINENTE;S;A;S;1999.01.0.8.00.00;;;;;1000.00.0.0.00.00;1900.00.0.0.00.00;1990.00.0.0.00.00;1999.00.0.0.00.00;1999.01.0.0.00.00;1999.01.0.0.00.00;1999.01.0.8.00.00;1999.01.0.8.00.00;1999.01.0.8.00.00;;;;;;24000000000001534;1;
1999.03.0.0.00.00;COMPENSAÇÕES FINANCEIRAS ENTRE OS REGIMES DE PREVIDÊNCIA;5;;199903000000;COMPENSAÇÕES FINANCEIRAS ENTRE OS REGIMES DE PREVIDÊNCIA;S;S;S;1999.03.0.0.00.00;;;;;1000.00.0.0.00.00;1900.00.0.0.00.00;1990.00.0.0.00.00;1999.00.0.0.00.00;1999.03.0.0.00.00;1999.03.0.0.00.00;1999.03.0.0.00.00;1999.03.0.0.00.00;1999.03.0.0.00.00;;;;;;24000000000001535;1;
1999.03.0.1.00.00;COMPEN.FINANC.ENTRE REGIMES PREVID.–PRINCIPAL;7;;199903010000;COMPENSAÇÕES FINANCEIRAS ENTRE OS REGIMES DE PREVIDÊNCIA – PRINCIPAL;S;A;S;1999.03.0.1.00.00;;;;;1000.00.0.0.00.00;1900.00.0.0.00.00;1990.00.0.0.00.00;1999.00.0.0.00.00;1999.03.0.0.00.00;1999.03.0.0.00.00;1999.03.0.1.00.00;1999.03.0.1.00.00;1999.03.0.1.00.00;;;;;;24000000000001536;1;
1999.06.0.0.00.00;CONTRAPARTIDA DE SUBVENÇÕES OU SUBSÍDIOS;5;;199906000000;CONTRAPARTIDA DE SUBVENÇÕES OU SUBSÍDIOS;S;S;S;1999.06.0.0.00.00;;;;;1000.00.0.0.00.00;1900.00.0.0.00.00;1990.00.0.0.00.00;1999.00.0.0.00.00;1999.06.0.0.00.00;1999.06.0.0.00.00;1999.06.0.0.00.00;1999.06.0.0.00.00;1999.06.0.0.00.00;;;;;;24000000000001537;1;
1999.06.0.1.00.00;CONTRAP..SUBV.OU SUBSÍDIOS–PRINCIPAL;7;;199906010000;CONTRAPARTIDA DE SUBVENÇÕES OU SUBSÍDIOS – PRINCIPAL;S;A;S;1999.06.0.1.00.00;;;;;1000.00.0.0.00.00;1900.00.0.0.00.00;1990.00.0.0.00.00;1999.00.0.0.00.00;1999.06.0.0.00.00;1999.06.0.0.00.00;1999.06.0.1.00.00;1999.06.0.1.00.00;1999.06.0.1.00.00;;;;;;24000000000001538;1;
1999.07.0.0.00.00;DISPONIBILIDADES DE RECURSOS DO FUNDO SOCIAL;5;;199907000000;DISPONIBILIDADES DE RECURSOS DO FUNDO SOCIAL;S;S;S;1999.07.0.0.00.00;;;;;1000.00.0.0.00.00;1900.00.0.0.00.00;1990.00.0.0.00.00;1999.00.0.0.00.00;1999.07.0.0.00.00;1999.07.0.0.00.00;1999.07.0.0.00.00;1999.07.0.0.00.00;1999.07.0.0.00.00;;;;;;24000000000001539;1;
1999.07.0.1.00.00;DISPONIBIL.RECURSOS FUNDO SOCIAL-PRINCIPAL;7;;199907010000;DISPONIBILIDADES DE RECURSOS DO FUNDO SOCIAL – PRINCIPAL;S;A;S;1999.07.0.1.00.00;;;;;1000.00.0.0.00.00;1900.00.0.0.00.00;1990.00.0.0.00.00;1999.00.0.0.00.00;1999.07.0.0.00.00;1999.07.0.0.00.00;1999.07.0.1.00.00;1999.07.0.1.00.00;1999.07.0.1.00.00;;;;;;24000000000001540;1;
1999.11.0.0.00.00;VARIAÇÃO CAMBIAL;5;;199911000000;VARIAÇÃO CAMBIAL;S;S;S;1999.11.0.0.00.00;;;;;1000.00.0.0.00.00;1900.00.0.0.00.00;1990.00.0.0.00.00;1999.00.0.0.00.00;1999.11.0.0.00.00;1999.11.0.0.00.00;1999.11.0.0.00.00;1999.11.0.0.00.00;1999.11.0.0.00.00;;;;;;24000000000001541;1;
1999.11.0.1.00.00;VARIAÇÃO CAMBIAL – PRINCIPAL;7;;199911010000;VARIAÇÃO CAMBIAL – PRINCIPAL;S;A;S;1999.11.0.1.00.00;;;;;1000.00.0.0.00.00;1900.00.0.0.00.00;1990.00.0.0.00.00;1999.00.0.0.00.00;1999.11.0.0.00.00;1999.11.0.0.00.00;1999.11.0.1.00.00;1999.11.0.1.00.00;1999.11.0.1.00.00;;;;;;24000000000001542;1;
1999.12.0.0.00.00;ENCARGOS LEGAIS PELA INSCRIÇÃO EM DÍVIDA ATIVA E RECEITAS DE;5;;199912000000;ENCARGOS LEGAIS PELA INSCRIÇÃO EM DÍVIDA ATIVA E RECEITAS DE ÔNUS DE SUCUMBÊNCIA;S;S;S;1999.12.0.0.00.00;;;;;1000.00.0.0.00.00;1900.00.0.0.00.00;1990.00.0.0.00.00;1999.00.0.0.00.00;1999.12.0.0.00.00;1999.12.0.0.00.00;1999.12.0.0.00.00;1999.12.0.0.00.00;1999.12.0.0.00.00;;;;;;24000000000001543;1;
1999.12.1.0.00.00;ENCARGOS LEGAIS PELA INSCRIÇÃO EM DÍVIDA ATIVA;6;;199912100000;ENCARGOS LEGAIS PELA INSCRIÇÃO EM DÍVIDA ATIVA;S;S;S;1999.12.1.0.00.00;;;;;1000.00.0.0.00.00;1900.00.0.0.00.00;1990.00.0.0.00.00;1999.00.0.0.00.00;1999.12.0.0.00.00;1999.12.1.0.00.00;1999.12.1.0.00.00;1999.12.1.0.00.00;1999.12.1.0.00.00;;;;;;24000000000001544;1;
1999.12.1.1.00.00;ENCARGOS LEGAIS INSC.D.ATIVA-PRINCIPAL;7;;199912110000;ENCARGOS LEGAIS PELA INSCRIÇÃO EM DÍVIDA ATIVA – PRINCIPAL;S;A;S;1999.12.1.1.00.00;;;;;1000.00.0.0.00.00;1900.00.0.0.00.00;1990.00.0.0.00.00;1999.00.0.0.00.00;1999.12.0.0.00.00;1999.12.1.0.00.00;1999.12.1.1.00.00;1999.12.1.1.00.00;1999.12.1.1.00.00;;;;;;24000000000001545;1;
1999.12.2.0.00.00;ÔNUS DE SUCUMBÊNCIA;6;;199912200000;ÔNUS DE SUCUMBÊNCIA;S;S;S;1999.12.2.0.00.00;;;;;1000.00.0.0.00.00;1900.00.0.0.00.00;1990.00.0.0.00.00;1999.00.0.0.00.00;1999.12.0.0.00.00;1999.12.2.0.00.00;1999.12.2.0.00.00;1999.12.2.0.00.00;1999.12.2.0.00.00;;;;;;24000000000001546;1;
1999.12.2.1.00.00;ÔNUS DE SUCUMBÊNCIA – PRINCIPAL;7;;199912210000;ÔNUS DE SUCUMBÊNCIA – PRINCIPAL;S;A;S;1999.12.2.1.00.00;;;;;1000.00.0.0.00.00;1900.00.0.0.00.00;1990.00.0.0.00.00;1999.00.0.0.00.00;1999.12.0.0.00.00;1999.12.2.0.00.00;1999.12.2.1.00.00;1999.12.2.1.00.00;1999.12.2.1.00.00;;;;19991221;;24000000000001547;1;
1999.12.2.1.00.25;ÔNUS DE SUCUMBÊNCIA - Honorarios advocaticios;9;;199912210025;ÔNUS DE SUÔNUS DE SUCUMBÊNCIA - Honorarios advocaticiosCUMBÊNCIA – PRINCIPAL;S;A;N;1999.12.2.1.00.00;;;;;1000.00.0.0.00.00;1900.00.0.0.00.00;1990.00.0.0.00.00;1999.00.0.0.00.00;1999.12.0.0.00.00;1999.12.2.0.00.00;1999.12.2.1.00.00;1999.12.2.1.00.00;1999.12.2.1.00.25;;;;;;25000000000003119;1;
